vendor_id,weekly_order_cnt,monthly_order_cnt,total_order_cnt,total_user_cnt,avg_cost,avg_delivery_cost,roas_growth_rate,review_score,review_rate,review_reply_rate
19sJIV53qJApk91,1.71,6.0,12,11,24200.0,916.6666666666666,0.10445335206374162,2.41,0.39,0.04
UChsuoA4cPkm4Uj,1.71,6.0,12,9,46916.666666666664,0.0,0.09513262360299693,1.09,0.45,0.13
CJ8MPRrVm66EPmG,1.2,1.5,12,9,21875.0,7375.0,0.2893559838454826,3.69,0.51,0.22
svRpN9sEzk8r7Ws,2.4,4.0,12,9,21808.333333333332,2041.6666666666667,0.17732452826862546,2.7,0.48,0.06
refHs4aaigBf2DN,1.71,2.4,12,9,22000.0,1750.0,0.0975800061113744,1.12,0.5,0.26
OJlSLd5NNwiDM4i,1.71,4.0,12,9,25600.0,2333.3333333333335,0.3576416725287732,5.02,0.43,0.0
39J0JFe9lhPNqbS,1.09,1.2,12,8,24016.666666666668,6583.333333333333,0.16246360042369118,2.42,0.24,0.12
WBkquytwrqNGCvY,1.33,2.4,12,3,34333.333333333336,6208.333333333333,0.191347379994165,2.64,0.22,0.03
oTkZbNlVTd872vB,1.71,3.0,12,10,20508.333333333332,1250.0,0.3215308861107087,3.11,0.46,0.29
xw7cpEHrYvMtZXL,1.2,1.5,12,8,31125.0,4000.0,0.040105318208215834,1.57,0.36,0.14
cNP9z5D9Sipjvyp,1.2,2.4,12,7,51208.333333333336,6750.0,0.03029225532178198,0.89,0.51,0.25
d4Nv7BOjqaV3ZNk,2.4,6.0,12,11,32958.333333333336,1333.3333333333333,0.1551297636963076,2.87,0.36,0.09
N2zzNXnBLBnESFs,1.09,1.2,12,10,143625.0,7916.666666666667,0.10107045776449836,1.94,0.42,0.12
cN16Vwexka0We8V,1.33,1.71,12,12,31458.333333333332,8227.272727272728,0.31796561882959423,2.58,0.48,0.39
NuxsW9WDR98kow4,1.2,1.71,12,10,87786.66666666667,7428.571428571428,0.07317518108483193,2.19,0.62,0.28
U23NK497UnMo7s6,1.71,6.0,12,12,19466.666666666668,1641.6666666666667,0.33058236963389476,3.71,0.27,0.09
4T5MiVTz3O6NqQh,1.33,4.0,12,10,27250.0,5583.333333333333,0.09051944988480906,1.37,0.33,0.15
eJ0T7jO8DuzK9A1,1.09,1.33,12,11,107310.0,7583.333333333333,0.33031906737434913,3.11,0.52,0.29
N4vnTksAUmfpMip,1.0,1.2,12,9,44291.666666666664,8000.0,0.17551373175459048,1.09,0.37,0.23
y8bo9MSiu7VUh3f,1.33,1.71,12,9,34958.333333333336,7300.0,0.20118552643609106,3.72,0.49,0.07
XGCegZ86j6idMYM,1.09,1.71,12,1,56583.333333333336,8000.0,0.36236075963280784,2.12,0.34,0.44
ZuGIBoidY88RQnp,1.09,1.5,12,11,42458.333333333336,6400.0,0.1407174563701822,2.77,0.42,0.15
5zIcEBhICfzCSIO,2.0,3.0,12,12,28783.333333333332,3416.6666666666665,0.2789877360404697,3.45,0.61,0.35
sGEymxmJGm1jjFz,1.5,3.0,12,10,41833.333333333336,1416.6666666666667,0.35962411098111136,4.62,0.6,0.46
91anfXhGmPHGmC1,1.2,1.5,12,12,35233.333333333336,4375.0,0.272818959693985,3.64,0.57,0.33
4kDuJLDM57Bm9ur,1.71,4.0,12,12,19833.333333333332,1708.3333333333333,0.30638475048509467,4.07,0.42,0.12
LvBXgxTxiYoKVol,2.0,6.0,12,9,36958.333333333336,1833.3333333333333,0.16966928200693968,2.13,0.43,0.16
r6PM2GaKvmOSf6l,1.0,1.33,12,12,56076.666666666664,2500.0,0.3347726383162404,2.98,0.52,0.35
QkBC8bAQZNYAJZz,1.33,1.5,12,12,79508.33333333333,8428.57142857143,0.1530078123461834,1.07,0.51,0.36
GbOZoe8b3RP04hz,1.2,1.33,12,12,63041.666666666664,7111.111111111111,0.21519451556726682,3.19,0.41,0.15
